2025-11-09 22:56:51,020 	 DEBUG 	 computerint=32 SvcHostSplit_numericUpDown.Maximum==9999999999SvcHostSplit_numericUpDown.Minimum==1
2025-11-09 22:56:51,023 	 DEBUG 	  SvcHostSplit_numericUpDown.Maximum 1
2025-11-09 22:56:51,024 	 DEBUG 	 TotalPhysicalMemory==32
2025-11-09 22:56:51,025 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,025 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,025 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,025 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,025 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,039 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,039 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,039 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,039 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,039 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,039 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,039 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,040 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,040 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,040 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,040 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,040 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,040 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,040 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,040 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,040 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,040 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,040 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,040 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,040 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,040 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,040 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:51,040 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:56:52,864 	 DEBUG 	 autologger:SYSTEM\CurrentControlSet\Control\WMI\Autologger\NtfsLog
2025-11-09 22:56:52,865 	 DEBUG 	 autologger:SYSTEM\CurrentControlSet\Control\WMI\Autologger\Circular Kernel Context Logger
2025-11-09 22:56:52,865 	 DEBUG 	 autologger:SYSTEM\CurrentControlSet\Control\WMI\Autologger\Diagtrack-Listener
2025-11-09 22:58:45,776 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,776 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,776 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,777 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,777 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,777 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,777 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,778 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,778 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,778 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,778 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
2025-11-09 22:58:45,779 	 DEBUG 	 hardcoreDriver etc2:SOFTWARE\Microsoft\Windows NT\CurrentVersion\Drivers32
